date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-05-15,C,LONG,85,40,20,15,10,123.42,118.4556,130.0391,133.3487,3.3096,2.68,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-15,WSO,LONG,85,40,30,10,5,403.15,378.0732,436.5857,453.3036,16.7179,4.15,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-15,CROX,LONG,80,40,30,0,10,94.94,89.3814,102.3514,106.0571,3.7057,3.9,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-15,ENTG,LONG,75,40,30,0,5,133.07,120.855,149.3567,157.5001,8.1434,6.12,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,R,LONG,75,40,20,0,15,230.91,219.3804,246.2829,253.9693,7.6864,3.33,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,BKNG,LONG,70,40,20,0,10,154.13,144.7046,166.6971,172.9807,6.2836,4.08,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,FTV,LONG,70,40,20,0,10,58.72,56.292,61.9573,63.5759,1.6186,2.76,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,BPOP,LONG,70,40,20,0,10,144.04,139.4157,150.2057,153.2886,3.0829,2.14,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,TT,LONG,70,40,5,15,10,466.6,445.7858,494.3523,508.2284,13.8761,2.97,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-15,ALLY,LONG,65,40,5,10,10,41.99,40.3535,44.172,45.263,1.091,2.6,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,BKR,LONG,65,40,15,5,5,64.12,61.5629,67.5294,69.2341,1.7047,2.66,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,DLR,LONG,65,40,15,0,10,188.51,182.3568,196.7143,200.8164,4.1021,2.18,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,FHB,LONG,65,40,5,10,10,26.41,25.4709,27.6621,28.2882,0.6261,2.37,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,HXL,LONG,65,40,5,10,10,88.65,83.9275,94.9467,98.0951,3.1484,3.55,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,NSA,LONG,65,40,15,0,10,41.02,39.5071,43.0371,44.0457,1.0086,2.46,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,UTHR,LONG,65,40,5,10,10,568.58,544.3668,600.8643,617.0064,16.1421,2.84,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,WTFC,LONG,65,40,15,0,10,144.58,139.9812,150.7117,153.7776,3.0659,2.12,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,ZION,LONG,65,40,5,10,10,59.63,57.5175,62.4467,63.8551,1.4084,2.36,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,CRUS,LONG,60,40,5,10,5,159.71,148.8907,174.1357,181.3486,7.2129,4.52,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,GTES,LONG,60,35,5,10,10,24.4,22.9373,26.3503,27.3254,0.9751,4.0,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,NEE,LONG,60,40,5,5,10,93.36,89.9652,97.8864,100.1496,2.2632,2.42,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,NDSN,LONG,60,35,15,0,10,274.88,266.2464,286.3914,292.1471,5.7557,2.09,BULL,LOW,QSG-MICRO-SWING-001
2026-05-15,FTI,LONG,60,40,5,5,10,71.28,67.9864,75.6714,77.8671,2.1957,3.08,BULL,LOW,QSG-MICRO-SWING-001
