date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-05-12,ABNB,LONG,85,40,30,5,10,135.48,128.3924,144.9301,149.6552,4.7251,3.49,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,ALLY,LONG,85,40,20,15,10,42.84,41.2011,45.0251,46.1177,1.0926,2.55,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,HLT,LONG,85,40,20,10,15,313.57,301.135,330.15,338.44,8.29,2.64,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,JLL,LONG,85,40,20,15,10,315.78,299.2746,337.7871,348.7907,11.0036,3.48,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,ITT,LONG,80,40,20,10,10,205.71,196.4464,218.0614,224.2371,6.1757,3.0,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,USB,LONG,80,40,25,10,5,54.48,52.845,56.66,57.75,1.09,2.0,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-12,BKNG,LONG,75,40,20,5,10,160.56,150.8561,173.4986,179.9679,6.4693,4.03,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,CFG,LONG,75,40,15,10,10,61.95,59.6986,64.9519,66.4528,1.5009,2.42,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,INGM,LONG,75,40,20,10,5,26.31,24.5276,28.6866,29.8749,1.1883,4.52,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,PVH,LONG,75,40,30,0,5,82.48,77.1454,89.5929,93.1493,3.5564,4.31,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,SIRI,LONG,75,40,15,15,5,26.16,24.6385,28.1887,29.2031,1.0144,3.88,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,BHF,LONG,70,40,20,0,10,61.09,60.1453,62.3496,62.9794,0.6298,1.03,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,BRX,LONG,70,40,5,10,15,29.94,29.0963,31.065,31.6275,0.5625,1.88,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,PNC,LONG,70,40,15,10,5,215.21,208.1005,224.6893,229.4289,4.7396,2.2,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-12,COLM,LONG,65,40,5,10,10,58.6,55.3836,62.8886,65.0329,2.1443,3.66,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,FHB,LONG,65,40,5,10,10,26.42,25.3598,27.8336,28.5404,0.7068,2.68,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,KEX,LONG,65,40,5,10,10,143.07,136.6671,151.6071,155.8757,4.2686,2.98,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,KNX,LONG,65,40,15,5,5,59.9,56.0107,65.0857,67.6786,2.5929,4.33,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,PK,LONG,65,40,5,10,10,10.97,10.4568,11.6543,11.9964,0.3421,3.12,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,SNDR,LONG,65,40,5,10,10,28.94,27.3764,31.0249,32.0673,1.0424,3.6,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,DOV,LONG,60,35,5,10,10,216.71,207.485,229.01,235.16,6.15,2.84,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,LSTR,LONG,60,40,5,5,10,175.74,168.0043,186.0543,191.2114,5.1571,2.93,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,MAR,LONG,60,40,5,5,10,350.23,337.1018,367.7343,376.4864,8.7521,2.5,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,MSCI,LONG,60,40,15,0,5,581.09,561.0007,607.8757,621.2686,13.3929,2.3,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,R,LONG,60,40,5,10,5,227.76,214.0264,246.0714,255.2271,9.1557,4.02,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,TFC,LONG,60,35,15,0,10,47.79,46.1765,49.9413,51.0169,1.0756,2.25,BULL,LOW,QSG-MICRO-SWING-001
2026-05-12,WSO,LONG,60,40,5,10,5,417.13,392.0071,450.6271,467.3757,16.7486,4.02,BULL,LOW,QSG-MICRO-SWING-001
