date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-05-13,PVH,LONG,85,40,30,10,5,80.29,74.8268,87.5743,91.2164,3.6421,4.54,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-13,ALLY,LONG,80,40,20,10,10,41.71,40.0879,43.8729,44.9543,1.0814,2.59,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-13,PRI,LONG,80,40,30,0,10,267.11,256.8698,280.7636,287.5904,6.8268,2.56,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-13,CHH,LONG,75,40,15,15,5,106.98,99.7613,116.605,121.4175,4.8125,4.5,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,FNB,LONG,75,40,15,10,10,17.24,16.6673,18.0036,18.3854,0.3818,2.21,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,INGM,LONG,75,40,20,10,5,25.83,24.0721,28.1739,29.3458,1.1719,4.54,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,NSC,LONG,75,35,20,10,10,310.58,303.3386,320.2351,325.0627,4.8276,1.55,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,C,LONG,70,40,5,15,10,124.1,119.313,130.4827,133.6741,3.1914,2.57,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,CSX,LONG,70,40,20,0,10,44.4,43.2359,45.9521,46.7282,0.7761,1.75,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,ITT,LONG,70,40,20,0,10,203.39,194.0943,215.7843,221.9814,6.1971,3.05,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,NI,LONG,70,40,5,10,15,47.05,45.8042,48.711,49.5415,0.8305,1.77,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,SBAC,LONG,70,40,25,0,5,207.66,199.8246,218.1071,223.3307,5.2236,2.52,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,TT,LONG,70,40,5,10,15,471.02,451.4696,497.0871,510.1207,13.0336,2.77,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-13,BKNG,LONG,65,40,20,0,5,155.03,145.3443,167.9443,174.4014,6.4571,4.17,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,CROX,LONG,65,40,15,0,10,96.93,91.4213,104.275,107.9475,3.6725,3.79,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,EQIX,LONG,65,40,15,0,10,1077.28,1040.4641,1126.3679,1150.9118,24.5439,2.28,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,FAF,LONG,65,40,5,10,10,66.86,63.957,70.7307,72.6661,1.9354,2.89,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,FHB,LONG,65,40,5,10,10,26.13,25.0725,27.54,28.245,0.705,2.7,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,LSTR,LONG,65,40,5,10,10,174.99,167.2843,185.2643,190.4014,5.1371,2.94,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,MAR,LONG,65,40,15,0,10,350.19,337.1968,367.5143,376.1764,8.6621,2.47,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,BPOP,LONG,65,40,15,0,10,143.06,138.2257,149.5057,152.7286,3.2229,2.25,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,R,LONG,65,40,5,10,10,227.3,215.1538,243.495,251.5925,8.0975,3.56,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,SNDR,LONG,65,40,5,10,10,29.17,27.6551,31.1899,32.1998,1.0099,3.46,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,WTFC,LONG,65,40,5,10,10,146.63,141.8487,153.005,156.1925,3.1875,2.17,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,ZION,LONG,65,40,15,0,10,59.64,57.39,62.64,64.14,1.5,2.52,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,ALSN,LONG,60,35,15,0,10,122.47,115.4114,131.8814,136.5871,4.7057,3.84,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,MSCI,LONG,60,40,15,0,5,570.91,550.8799,597.6169,610.9703,13.3534,2.34,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,NDSN,LONG,60,35,5,10,10,278.93,270.3184,290.4121,296.1532,5.7411,2.06,BULL,LOW,QSG-MICRO-SWING-001
2026-05-13,QSR,LONG,60,40,5,5,10,76.44,73.0468,80.9643,83.2264,2.2621,2.96,BULL,LOW,QSG-MICRO-SWING-001
