date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-05-19,EQIX,LONG,90,40,30,10,10,1048.43,1014.9821,1093.0271,1115.3257,22.2986,2.13,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-19,IEX,LONG,80,40,20,10,10,205.15,198.8323,213.5736,217.7854,4.2118,2.05,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-19,BKNG,LONG,75,40,20,0,15,154.54,145.8952,166.0664,171.8296,5.7632,3.73,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-19,AMKR,LONG,70,40,15,10,5,65.54,58.6953,74.6663,79.2294,4.5631,6.96,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-19,FTV,LONG,70,40,20,0,10,58.2,55.7548,61.4603,63.0904,1.6301,2.8,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-19,GL,LONG,70,40,15,5,10,149.87,145.047,156.3007,159.5161,3.2154,2.15,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-19,R,LONG,70,40,5,10,15,228.21,216.763,243.4727,251.1041,7.6314,3.34,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-19,COLM,LONG,65,35,5,10,15,58.58,55.3186,62.9286,65.1029,2.1743,3.71,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,HXL,LONG,65,40,5,10,10,88.3,83.8323,94.257,97.2355,2.9785,3.37,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,RS,LONG,65,40,5,10,10,357.49,344.695,374.55,383.08,8.53,2.39,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,VMI,LONG,65,40,5,10,10,491.15,468.7839,520.9714,535.8821,14.9107,3.04,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,XLY,LONG,65,40,15,0,10,115.03,112.1795,118.8307,120.7311,1.9004,1.65,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,ALGM,LONG,60,40,5,10,5,41.65,37.0934,47.7254,50.7631,3.0377,7.29,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,COLB,LONG,60,40,5,5,10,28.73,27.6564,30.1614,30.8771,0.7157,2.49,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,DAL,LONG,60,40,5,5,10,67.76,64.3178,72.3496,74.6444,2.2948,3.39,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,EME,LONG,60,40,5,10,5,854.36,802.3877,923.6564,958.3046,34.6482,4.06,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,FHN,LONG,60,40,5,0,15,23.59,22.7789,24.6714,25.2121,0.5407,2.29,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,INCY,LONG,60,35,5,10,10,95.6,91.4761,101.0986,103.8479,2.7493,2.88,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,KEY,LONG,60,40,5,0,15,20.92,20.2482,21.8157,22.2636,0.4479,2.14,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,MCHP,LONG,60,40,5,10,5,91.81,85.555,100.15,104.32,4.17,4.54,BULL,LOW,QSG-MICRO-SWING-001
2026-05-19,WCC,LONG,60,40,5,10,5,337.06,311.0698,371.7136,389.0404,17.3268,5.14,BULL,LOW,QSG-MICRO-SWING-001
