date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-05-18,C,LONG,90,40,30,10,10,122.41,117.5146,128.9371,132.2007,3.2636,2.67,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-18,PVH,LONG,80,40,20,10,10,80.33,75.0179,87.4129,90.9543,3.5414,4.41,BULL,HIGH,QSG-MICRO-SWING-001
2026-05-18,ALLY,LONG,75,40,5,15,15,42.11,40.506,44.2487,45.3181,1.0694,2.54,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,BKNG,LONG,75,40,20,0,15,155.07,145.8836,167.3186,173.4429,6.1243,3.95,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,CHH,LONG,75,40,15,15,5,106.65,99.4114,116.3014,121.1271,4.8257,4.52,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,FNB,LONG,75,40,5,15,15,17.25,16.6779,18.0129,18.3943,0.3814,2.21,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,FTV,LONG,75,40,15,10,10,59.01,56.606,62.2153,63.8179,1.6026,2.72,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,SBAC,LONG,75,40,15,10,10,203.34,194.8254,214.6929,220.3693,5.6764,2.79,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,TT,LONG,75,40,15,10,10,460.42,439.6406,488.1259,501.9788,13.8529,3.01,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,AMKR,LONG,70,40,15,10,5,66.04,59.1914,75.1714,79.7371,4.5657,6.91,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,R,LONG,70,40,5,10,15,231.55,219.9459,247.0221,254.7582,7.7361,3.34,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-05-18,HXL,LONG,65,40,5,10,10,89.28,84.587,95.5373,98.6659,3.1286,3.5,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,IEX,LONG,65,40,5,10,10,208.63,200.8546,218.9971,224.1807,5.1836,2.48,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,RS,LONG,65,40,5,10,10,360.0,347.5693,376.5743,384.8614,8.2871,2.3,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,SSD,LONG,65,35,5,15,10,182.0,173.9911,192.6786,198.0179,5.3393,2.93,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,UTHR,LONG,65,40,5,10,10,566.99,543.2209,598.6821,614.5282,15.8461,2.79,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,AME,LONG,60,35,5,10,10,225.66,217.0521,237.1371,242.8757,5.7386,2.54,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,CROX,LONG,60,40,5,0,15,97.0,91.4216,104.4379,108.1568,3.7189,3.83,BULL,LOW,QSG-MICRO-SWING-001
2026-05-18,ONTO,LONG,60,40,15,0,5,254.53,232.6313,283.7283,298.3274,14.5991,5.74,BULL,LOW,QSG-MICRO-SWING-001
