date,ticker,direction,score,trend_pts,pullback_pts,volume_pts,volatility_pts,entry_price,stop_price,target_1,target_2,atr,atr_pct,regime,confidence,strategy_id
2026-03-11,XLP,LONG,75,40,15,10,10,84.59,82.6207,87.2157,88.5286,1.3129,1.55,BULL,MEDIUM,QSG-MICRO-SWING-001
2026-03-11,XLU,LONG,65,40,5,10,10,46.17,45.0825,47.62,48.345,0.725,1.57,BULL,LOW,QSG-MICRO-SWING-001
2026-03-11,XLRE,LONG,65,40,10,10,5,42.41,41.4789,43.6514,44.2721,0.6207,1.46,BULL,LOW,QSG-MICRO-SWING-001
2026-03-11,XLI,LONG,60,40,15,0,5,169.49,164.3107,176.3957,179.8486,3.4529,2.04,BULL,LOW,QSG-MICRO-SWING-001
